Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"MSFT","MICROSOFT CORP","Information Technology","Equity","27,713,543,518.30","7.35","27,713,543,518.30","73,151,758.00","378.85","United States","NASDAQ","USD","1.00","USD","-"
"AAPL","APPLE INC","Information Technology","Equity","27,400,886,658.27","7.27","27,400,886,658.27","144,694,971.00","189.37","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","13,080,393,163.36","3.47","13,080,393,163.36","89,395,798.00","146.32","United States","NASDAQ","USD","1.00","USD","-"
"NVDA","NVIDIA CORP","Information Technology","Equity","11,707,109,794.80","3.11","11,707,109,794.80","24,318,882.00","481.40","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","7,885,426,946.03","2.09","7,885,426,946.03","58,414,897.00","134.99","United States","NASDAQ","USD","1.00","USD","-"
"META","META PLATFORMS INC CLASS A","Communication","Equity","7,269,573,792.80","1.93","7,269,573,792.80","21,883,124.00","332.20","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","6,777,728,276.00","1.80","6,777,728,276.00","49,690,090.00","136.40","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","6,637,622,900.22","1.76","6,637,622,900.22","27,187,773.00","244.14","United States","NASDAQ","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","6,440,499,544.35","1.71","6,440,499,544.35","17,955,615.00","358.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","4,879,218,752.48","1.29","4,879,218,752.48","9,120,376.00","534.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LLY","ELI LILLY","Health Care","Equity","4,646,833,130.82","1.23","4,646,833,130.82","7,851,237.00","591.86","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","4,415,468,345.76","1.17","4,415,468,345.76","28,612,418.00","154.32","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XOM","EXXON MOBIL CORP","Energy","Equity","4,076,165,255.26","1.08","4,076,165,255.26","39,829,639.00","102.34","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","4,062,859,573.74","1.08","4,062,859,573.74","4,318,378.00","940.83","United States","NASDAQ","USD","1.00","USD","-"
"V","VISA INC CLASS A","Financials","Equity","4,021,883,262.03","1.07","4,021,883,262.03","15,819,861.00","254.23","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","3,606,310,886.92","0.96","3,606,310,886.92","23,708,572.00","152.11","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","3,507,639,493.47","0.93","3,507,639,493.47","23,209,419.00","151.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MA","MASTERCARD INC CLASS A","Financials","Equity","3,357,119,215.44","0.89","3,357,119,215.44","8,191,692.00","409.82","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","3,078,730,996.40","0.82","3,078,730,996.40","9,898,820.00","311.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADBE","ADOBE INC","Information Technology","Equity","2,770,690,737.72","0.74","2,770,690,737.72","4,487,748.00","617.39","United States","NASDAQ","USD","1.00","USD","-"
